address,is24qa_bezugsfrei_ab,is24qa_etage,is24qa_flaeche,is24qa_kaltmiete,is24qa_nebenkosten,is24qa_zi,lat,lng,url,zip_region_country
"Otto-Braun Strasse 67,",01.02.2018,10 von 10,30 m²,1.990 €,,2,"52.52415422505416,",13.418124941968872,https://www.immobilienscout24.de/expose/79469490,"10178 Berlin Mitte, Mitte (Mitte)"
"Lydia-Rabinowitsch-Straße 10A,",2. Quartal 2019,2 von 5,81 m²,1.242 €,,3,"52.531703644814684,",13.368265423637071,https://www.immobilienscout24.de/expose/107556710,"10557 Berlin, Tiergarten (Tiergarten)"
"Schreiberhauerstr. 9,",01.12.2018,5 von 5,54 m²,721 €,,2,"52.50628499042608,",13.476366462962156,https://www.immobilienscout24.de/expose/108342504,"10317 Berlin, Lichtenberg (Lichtenberg)"
"Clayallee 174 A,",sofort,2 von 2,100 m²,1.350 €,,3,"52.45174960618113,",13.273838777852063,https://www.immobilienscout24.de/expose/108306567,"14195 Berlin, Dahlem (Zehlendorf)"
"Bärbel-Bohley-Ring 26,",01.10.2018,2 von 6,"20,5 m²",570 €,,1,"52.54855206655964,",13.396320727633562,https://www.immobilienscout24.de/expose/103333241,"13355 Berlin, Wedding (Wedding)"
"Danziger Straße 77,",nach Vereinbarung,1 von 7,"55,11 m²",1.079 €,,2,"52.53895846788747,",13.426008071496597,https://www.immobilienscout24.de/expose/108208658,"10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Friedrich-Engels-Str. 23,",16.12.2018,2,"117,7 m²",1.229 €,,3,"52.581578601088204,",13.393327828539928,https://www.immobilienscout24.de/expose/108197769,"13156 Berlin, Niederschönhausen (Pankow)"
"Danziger Straße 73,",nach Vereinbarung,2 von 6,"76,02 m²",1.449 €,,2,"52.53925230668906,",13.425296688047746,https://www.immobilienscout24.de/expose/108208626,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
,01.02.2019,0 von 4,"81,77 m²",1.105 €,,3,,,https://www.immobilienscout24.de/expose/108471140,10115 Berlin
"Bansiner Str. 62,",Februar 2019,5 von 6,"74,72 m²","672,48 €",,3,"52.51838346533914,",13.587169270994371,https://www.immobilienscout24.de/expose/108263759,"12619 Berlin, Kaulsdorf (Hellersdorf)"
"Babelsberger Str. 43,",sofort,1 von 4,"36,72 m²",649 €,,1,"52.48535475962249,",13.33557843638491,https://www.immobilienscout24.de/expose/108026336,"10715 Berlin, Wilmersdorf (Wilmersdorf)"
"Kurfürstenstr. 136,",sofort,0 von 4,"126,68 m²",1.900 €,,5,,,https://www.immobilienscout24.de/expose/108518331,"10785 Berlin, Schöneberg (Schöneberg)"
"Kurfürstenstr. 136,",sofort,3 von 4,"76,05 m²",1.217 €,,2,,,https://www.immobilienscout24.de/expose/108656734,"10785 Berlin, Schöneberg (Schöneberg)"
"Pritzhagener Weg 13,",01.01.2019,2 von 5,"96,16 m²","783,70 €",,3,"52.54239253593956,",13.571355382625391,https://www.immobilienscout24.de/expose/108115201,"12685 Berlin, Marzahn (Marzahn)"
"Heidestraße 11B,",2. Quartal 2019,2 von 6,86 m²,1.298 €,,3,"52.53212518830583,",13.368536231212602,https://www.immobilienscout24.de/expose/107471342,"10557 Berlin, Tiergarten (Tiergarten)"
"Heidestraße 11C,",2. Quartal 2019,1 von 6,85 m²,1.216 €,,3,"52.53212518830583,",13.368536231212602,https://www.immobilienscout24.de/expose/107556620,"10557 Berlin, Tiergarten (Tiergarten)"
"Falkoniergasse 3,",Sofort,3,"151,4 m²",4.152 €,,4,"52.515987797757894,",13.397099496593311,https://www.immobilienscout24.de/expose/107965500,"10117 Berlin, Mitte (Mitte)"
"Kerstenweg 2,",nach Vereinbarung,3 von 3,139 m²,1.490 €,,4,"52.52840832311891,",13.196027514293649,https://www.immobilienscout24.de/expose/102735492,"13581 Berlin, Spandau (Spandau)"
"Quendelsteig 21,",sofort,3,"107,5 m²",1.280 €,,3,"52.42415526778271,",13.217365597657036,https://www.immobilienscout24.de/expose/107463283,"14129 Berlin, Nikolassee (Zehlendorf)"
"Krusauer Str. 23,",sofort,2 von 3,"66,5 m²",580 €,,3,"52.40750823198026,",13.39484640990578,https://www.immobilienscout24.de/expose/108655927,"12305 Berlin, Lichtenrade (Tempelhof)"
"Kommandantenstraße 76,",sofort,1 von 7,"100,7 m²",1.600 €,,3,"52.509506587899885,",13.400698560456464,https://www.immobilienscout24.de/expose/99320890,"10117 Berlin, Mitte (Mitte)"
,01.01.2019,4 von 4,"81,23 m²",1.224 €,,2,,,https://www.immobilienscout24.de/expose/108541072,10115 Berlin
"Sternstraße 1,",sofort,1 von 4,72 m²,999 €,,3,"52.564463384649144,",13.389065136427583,https://www.immobilienscout24.de/expose/108440359,"13187 Berlin, Wedding (Wedding)"
"Kaiserin-Augusta-Allee 94,",sofort,2 von 5,"39,43 m²","591,45 €",,1,"52.525451568860674,",13.31260689695267,https://www.immobilienscout24.de/expose/107938198,"10589 Berlin, Charlottenburg (Charlottenburg)"
"Kerstenweg 2,",nach Vereinbarung,1 von 3,163 m²,1.700 €,,5,"52.52840832311891,",13.196027514293649,https://www.immobilienscout24.de/expose/103477445,"13581 Berlin, Spandau (Spandau)"
,ab sofort,3 von 4,59 m²,590 €,,1,,,https://www.immobilienscout24.de/expose/84211612,12489 Berlin
"Pfarrer-Theile-Straße 29,",nach Vereinbarung,,46 m²,469 €,,"1,5","52.52617149415773,",13.147638868592118,https://www.immobilienscout24.de/expose/108689297,"13591 Berlin, Staaken (Spandau)"
,01.01.2019,1 von 2,102 m²,1.025 €,,3,,,https://www.immobilienscout24.de/expose/80038695,12557 Berlin
,,,85 m²,850 €,,3,,,https://www.immobilienscout24.de/expose/107803392,12621 Berlin-Kaulsdorf
"Ziegelhof 6,",nach Vereinbarung,3 von 3,65 m²,700 €,,2,"52.52910846733911,",13.196825148613508,https://www.immobilienscout24.de/expose/108689300,"13581 Berlin, Spandau (Spandau)"
,,,"95,6 m²",715 €,,3,,,https://www.immobilienscout24.de/expose/108139252,12587 Berlin
,,4,"93,29 m²","979,55 €",,3,,,https://www.immobilienscout24.de/expose/108410144,12489 Berlin-Adlershof
"Müllerstraße 34,",sofort,1 von 8,"20,5 m²","496,25 €",,1,"52.54850203974514,",13.35591763597683,https://www.immobilienscout24.de/expose/93214309,"13353 Berlin, Wedding (Wedding)"
,01.03.2019,2 von 6,145 m²,4.000 €,,3,,,https://www.immobilienscout24.de/expose/108248321,10119 Berlin
,01.01.2019,2 von 4,230 m²,3.910 €,,"4,5",,,https://www.immobilienscout24.de/expose/108249438,10117 Berlin
,sofort,4 von 5,135 m²,1.850 €,,5,,,https://www.immobilienscout24.de/expose/108534713,10999 Berlin
"Am Steinberg 14,",,6 von 7,"86,4 m²",994 €,,3,"52.55689271732666,",13.430988391196946,https://www.immobilienscout24.de/expose/107985386,"13086 Berlin, Weißensee (Weißensee)"
"Neue Kantstraße 29-30,",01.03.2019,3 von 6,53 m²,"648,72 €",,2,"52.50642625467633,",13.293506026910046,https://www.immobilienscout24.de/expose/108674174,"14057 Berlin, Charlottenburg (Charlottenburg)"
"Pirmasenser Str. 23B,",nach Vereinbarung,3,"66,95 m²","592,42 €",,"2,5","52.54872844148534,",13.185796854305345,https://www.immobilienscout24.de/expose/107734333,"13583 Berlin, Spandau (Spandau)"
"Alt-Wittenau 48D,",nach Vereinbarung,,"121,68 m²","1.363,32 €",,5,"52.593472567927144,",13.319606455356643,https://www.immobilienscout24.de/expose/108319976,"13437 Berlin, Wittenau (Reinickendorf)"
"Kottbusser Damm 36,",01.11.2018,5,"71,78 m²",788 €,,2,"52.48837551774682,",13.424746981568768,https://www.immobilienscout24.de/expose/107297997,"10967 Berlin, Kreuzberg (Kreuzberg)"
"Randowstr. 16,",16.12.2018,8,"86,47 m²","631,23 €",,3,"52.56655997304925,",13.5251253096106,https://www.immobilienscout24.de/expose/108113184,"13057 Berlin, Neu-Hohenschönhausen (Hohenschönhausen)"
"Weverstr. 8,",31.12.2018,2,"71,3 m²","630,29 €",,2,"52.51962483969891,",13.200316383685852,https://www.immobilienscout24.de/expose/108377071,"13595 Berlin, Spandau (Spandau)"
"Wasserwerkstr. 47,",Nach Vereinbarung,5,"66,19 m²","516,28 €",,2,"52.55558508287455,",13.165374601629228,https://www.immobilienscout24.de/expose/104480865,"13589 Berlin, Spandau (Spandau)"
"Stichstr. 1,",01.05.2019,11,"43,41 m²","412,83 €",,1,"52.5267176878306,",13.221768120831129,https://www.immobilienscout24.de/expose/108484466,"13597 Berlin, Spandau (Spandau)"
"Feldtmannstraße 134b,",01.12.2018,1,"107,74 m²",1.345 €,,4,"52.56314829258836,",13.480205005728392,https://www.immobilienscout24.de/expose/108560364,"13088 Berlin, Weißensee (Weißensee)"
"Klara-Franke-Strasse 12,",01.12.2018,2,14 m²,630 €,,1,"52.53233969646088,",13.361756523898908,https://www.immobilienscout24.de/expose/108558814,"10557 Berlin, Tiergarten (Tiergarten)"
"Grünauer Straße 133,",ab sofort,2,"86,25 m²",691 €,,3,"52.4356470604191,",13.572017868926817,https://www.immobilienscout24.de/expose/107822190,"12557 Berlin, Köpenick (Köpenick)"
"Residenzstr. 138,",sofort,3 von 3,127 m²,1.270 €,,3,"52.570823842301316,",13.361076726769104,https://www.immobilienscout24.de/expose/108248236,"13409 Berlin, Reinickendorf (Reinickendorf)"
"Gotlandstraße 6,",sofort,6 von 6,"76,3 m²","1.754,90 €",,"2,5","52.55465893077694,",13.411365114464811,https://www.immobilienscout24.de/expose/108133562,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Rigaer Str. 56,",sofort,6 von 6,"108,72 m²",1.150 €,,3,"52.51489750367423,",13.473988920008518,https://www.immobilienscout24.de/expose/108210784,"10247 Berlin, Friedrichshain (Friedrichshain)"
"Klara-Franke-Strasse 16,",15.12.2018,2,11 m²,610 €,,1,"52.531943915157704,",13.362206163411988,https://www.immobilienscout24.de/expose/108562603,"10557 Berlin, Tiergarten (Tiergarten)"
"Paul-Robeson-Strasse 43,",,6 von 6,"67,43 m²",1.399 €,,2,"52.55219763129281,",13.411898666778349,https://www.immobilienscout24.de/expose/108489021,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Goslarer Ufer 1A,",sofort,3 von 7,95 m²,1.799 €,,3,"52.5205801384453,",13.315857438590701,https://www.immobilienscout24.de/expose/106151674,"10589 Berlin, Charlottenburg (Charlottenburg)"
"Paul-Robeson-Strasse 43,",,6 von 6,"48,8 m²",999 €,,2,"52.55219763129281,",13.411898666778349,https://www.immobilienscout24.de/expose/108489012,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Paul-Robeson-Strasse 43,",,6 von 6,"120,12 m²",2.099 €,,2,"52.55219763129281,",13.411898666778349,https://www.immobilienscout24.de/expose/108489009,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Marienfelder Allee 174-184,",sofort,2 von 5,"89,6 m²","851,20 €",,4,"52.41077510633049,",13.358739454872369,https://www.immobilienscout24.de/expose/91305849,"12279 Berlin, Marienfelde (Tempelhof)"
"Gethsemanestraße 6,",Sofort,,"48,83 m²",753 €,,2,"52.54822760718425,",13.417739189442061,https://www.immobilienscout24.de/expose/73586141,"10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Albrecht-Achilles-Straße 65,",sofort,1,106 m²,1.890 €,,3,"52.49847629651399,",13.303937102188312,https://www.immobilienscout24.de/expose/108238929,"10709 Berlin, Wilmersdorf (Wilmersdorf)"
"Buschallee 64,",15.02.2019,0,"59,79 m²","538,55 €",,2,"52.553228751641576,",13.481689692544363,https://www.immobilienscout24.de/expose/108538258,"13088 Berlin, Weißensee (Weißensee)"
,ab sofort,,117 m²,1.345 €,,2,,,https://www.immobilienscout24.de/expose/108201448,14052 Berlin
"Baseler Straße 2,",01.12.2018,1 von 2,"69,87 m²",895 €,,"2,5","52.44291713112679,",13.294668579193715,https://www.immobilienscout24.de/expose/108643360,"12205 Berlin, Lichterfelde (Steglitz)"
"Baseler Straße 2,",01.12.2018,1 von 2,"74,98 m²",975 €,,"2,5","52.44291713112679,",13.294668579193715,https://www.immobilienscout24.de/expose/108644992,"12205 Berlin, Lichterfelde (Steglitz)"
"Pfarrer-Theile-Str. 93,",01.01.2019,3 von 4,"53,79 m²",712 €,,2,"52.526574967830946,",13.146858785232519,https://www.immobilienscout24.de/expose/108183467,"13591 Berlin, Staaken (Spandau)"
"Caspar-Theyß-Straße 18a,",sofort,2,110 m²,1.398 €,,"3,5","52.49191893634437,",13.291585914348044,https://www.immobilienscout24.de/expose/74175892,"14193 Berlin, Grunewald (Wilmersdorf)"
"Am Forstacker 29,",01.12.2018,,"45,11 m²","315,77 €",,1,"52.564999814473715,",13.20052557589983,https://www.immobilienscout24.de/expose/108520842,"13587 Berlin, Spandau (Spandau)"
"Ringbahnstr. 5,",01.12.18.,3 von 6,50 m²,1.000 €,,2,"52.49837147238774,",13.289257082210224,https://www.immobilienscout24.de/expose/108641352,"10711 Berlin, Wilmersdorf (Wilmersdorf)"
"Humboldtstraße 22A,",Sofort,1,"178,41 m²",2.800 €,,5,"52.49100570419288,",13.286868967840674,https://www.immobilienscout24.de/expose/108658001,"14193 Berlin, Grunewald (Wilmersdorf)"
,sofort,6 von 7,"111,6 m²",1.679 €,,5,,,https://www.immobilienscout24.de/expose/108658734,10969 Berlin
"Stellingdamm 8,",sofort,1,"55,12 m²",662 €,,2,"52.45925752081511,",13.582259782492914,https://www.immobilienscout24.de/expose/107229378,"12555 Berlin, Köpenick (Köpenick)"
"Krumme Str. 33,",sofort,2,137 m²,1.998 €,,3,"52.50956377276574,",13.30909801952096,https://www.immobilienscout24.de/expose/108541673,"10627 Berlin, Charlottenburg (Charlottenburg)"
"Westfälische Str. 58,",sofort,1 von 5,190 m²,3.420 €,,5,"52.495955644949326,",13.294884804831725,https://www.immobilienscout24.de/expose/107552383,"10711 Berlin, Wilmersdorf (Wilmersdorf)"
,sofort,2 von 6,76 m²,1.150 €,,2,,,https://www.immobilienscout24.de/expose/108370789,10585 Berlin
"Mühsamstraße 54,",15.12.2018,6 von 6,"89,1 m²",1.337 €,,3,"52.520236698425876,",13.451216664314881,https://www.immobilienscout24.de/expose/107372227,"10249 Berlin, Friedrichshain, Friedrichshain (Friedrichshain)"
"Wasserwerkstr. 39,",nach Vereinbarung,6,"88,09 m²","850,73 €",,"3,5","52.55499212171909,",13.166066919086795,https://www.immobilienscout24.de/expose/107846105,"13589 Berlin, Spandau (Spandau)"
"Bernauer Str. 33,",nach Vereinbarung,,"68,82 m²","675,99 €",,2,"52.575414222442824,",13.289757260302967,https://www.immobilienscout24.de/expose/108545049,"13507 Berlin, Tegel (Reinickendorf)"
"Knesebeckstr. 33,",,3,260 m²,3.110 €,,6,"52.50307431269815,",13.321488863218045,https://www.immobilienscout24.de/expose/108505640,"10623 Berlin, Charlottenburg (Charlottenburg)"
"Kaiserallee 29,",01.12.2018,0 von 2,"93,52 m²",1.240 €,,3,"52.41843195190279,",13.368398065906455,https://www.immobilienscout24.de/expose/105131588,"12277 Berlin, Marienfelde (Tempelhof)"
"Paul-Robeson-Strasse 43,",,6 von 6,"70,79 m²",1.449 €,,2,"52.55219763129281,",13.411898666778349,https://www.immobilienscout24.de/expose/108489035,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Am Steinberg 12,",sofort,1 von 7,"90,01 m²",1.036 €,,3,"52.556791395998324,",13.430696155895596,https://www.immobilienscout24.de/expose/107985307,"13086 Berlin, Weißensee (Weißensee)"
"Am Steinberg 6,",,6 von 7,"70,14 m²",807 €,,2,"52.556592817227546,",13.430291720750727,https://www.immobilienscout24.de/expose/107985399,"13086 Berlin, Weißensee (Weißensee)"
,sofort,2 von 4,56 m²,1.100 €,,2,,,https://www.immobilienscout24.de/expose/108519035,14057 Berlin
"Angerburger Allee 47,",sofort,13,"200,65 m²",1.979 €,,4,"52.509207160154084,",13.221227743112491,https://www.immobilienscout24.de/expose/90988226,"14055 Berlin, Charlottenburg (Charlottenburg)"
"Knesebeckstr. 20-21,",Sofort,,"217,41 m²",3.364 €,,4,"52.50745798820963,",13.322079068941854,https://www.immobilienscout24.de/expose/107292185,"10623 Berlin, Charlottenburg (Charlottenburg)"
"Gross-Berliner-Damm 136-138,",01.03.2019,3 von 5,"53,6 m²",650 €,,1,"52.4322949585997,",13.535188093688976,https://www.immobilienscout24.de/expose/108518638,"12489 Berlin, Adlershof (Treptow)"
"Potsdamer Str. 98,",sofort,0 von 4,142 m²,2.277 €,,3,"52.50195508996707,",13.363947933147433,https://www.immobilienscout24.de/expose/108414567,"10785 Berlin, Tiergarten (Tiergarten)"
"Klara-Franke-Strasse 16,",01.01.2019,7,11 m²,610 €,,1,"52.531943915157704,",13.362206163411988,https://www.immobilienscout24.de/expose/108635931,"10557 Berlin, Tiergarten (Tiergarten)"
"Knesebeckstr. 20-21,",Sofort,,"178,89 m²",2.549 €,,"5,5","52.50745798820963,",13.322079068941854,https://www.immobilienscout24.de/expose/107296919,"10623 Berlin, Charlottenburg (Charlottenburg)"
"Türrschmidtstr. 33,",sofort,2 von 5,"54,49 m²",599 €,,1,"52.50343370246813,",13.481907553878736,https://www.immobilienscout24.de/expose/108443306,"10317 Berlin, Lichtenberg (Lichtenberg)"
,01.03.2019,5 von 8,"190,4 m²","3.617,60 €",,4,,,https://www.immobilienscout24.de/expose/108519043,10178 Berlin
"Götzstraße 11B,",sofort,5,121 m²,1.099 €,,3,"52.46540684391421,",13.388218821401736,https://www.immobilienscout24.de/expose/108523903,"12099 Berlin, Tempelhof (Tempelhof)"
"Waldemarstraße 3,",sofort,,"171,69 m²",2.100 €,,6,"52.58561612474842,",13.408946363047527,https://www.immobilienscout24.de/expose/108504954,"13156 Berlin, Niederschönhausen (Pankow)"
"Skarbinastr. 84,",sofort,6,64 m²,519 €,,2,"52.393676891049054,",13.421556259013721,https://www.immobilienscout24.de/expose/107056374,"12309 Lichtenrade, Lichtenrade (Tempelhof)"
,01.12.2018,5 von 5,38 m²,470 €,,1,,,https://www.immobilienscout24.de/expose/107332363,12685 Berlin
"Raschdorffstr. 16,",sofort,5 von 5,"85,85 m²",900 €,,3,"52.56839922399469,",13.364596974735582,https://www.immobilienscout24.de/expose/107380421,"13409 Berlin, Reinickendorf (Reinickendorf)"
"Frankfurter Allee 10,",01.12.2018,,"68,5 m²",1.100 €,,2,"52.51516671710571,",13.456816316071118,https://www.immobilienscout24.de/expose/107686454,"10247 Berlin, Friedrichshain (Friedrichshain)"
"Kanzowstraße 15,",01.12.2018,5 von 5,127 m²,1.905 €,,3,"52.545061270142675,",13.426154898065928,https://www.immobilienscout24.de/expose/108224007,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Schreinerstraße 50,",15.11.2018,2 von 4,83 m²,1.369 €,,3,"52.517295647498145,",13.466391120591592,https://www.immobilienscout24.de/expose/108209336,"10247 Berlin, Friedrichshain (Friedrichshain)"
,01.02.2019,5 von 5,"90,1 m²","1.298,34 €",,3,,,https://www.immobilienscout24.de/expose/70412411,13187 Berlin
"Gethsemanestrasse 4,",20.11.2018,2 von 4,"136,45 m²","2.068,58 €",,4,"52.5476985442548,",13.417399817364823,https://www.immobilienscout24.de/expose/108262293,"10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Richard-Münch-Straße 47,",15.10.2018,5 von 5,"72,82 m²","648,10 €",,2,"52.525496561970606,",13.14938773208997,https://www.immobilienscout24.de/expose/107579637,"13591 Berlin, Staaken (Spandau)"
"Florapromenade 4,",1.9.2018,,"79,9 m²",1.200 €,,"2,5","52.564592554474046,",13.404099049056073,https://www.immobilienscout24.de/expose/108139905,"13187 Berlin, Pankow (Pankow)"
"Lepsiusstrasse 50,",sofort,2,62 m²,717 €,,2,"52.46169488995939,",13.31783490313409,https://www.immobilienscout24.de/expose/108488513,"12163 Berlin, Steglitz (Steglitz)"
"Südwestkorso 69 a,",sofort,5 von 5,130 m²,1.690 €,,3,"52.47516673827984,",13.324589733961716,https://www.immobilienscout24.de/expose/108368487,"12161 Berlin, Friedenau (Schöneberg)"
"Moselstraße 7-8,",01.01.2019,2 von 3,156 m²,2.110 €,,4,"52.469258967031976,",13.334665130049999,https://www.immobilienscout24.de/expose/107956096,"12159 Berlin, Friedenau (Schöneberg)"
"Gabriele-Tergit-Promenade 17,",01.01.2019,6 von 6,"147,55 m²","2.028,81 €",,3,"52.5053841625649,",13.375616301811304,https://www.immobilienscout24.de/expose/108486342,"10963 Berlin, Tiergarten (Tiergarten)"
"Heidekampweg 1,",sofort,,"53,19 m²",600 €,,2,"52.46679879724345,",13.478694759992282,https://www.immobilienscout24.de/expose/108606707,"12437 Berlin, Baumschulenweg (Treptow)"
"Handjerystraße 93,",,0 von 4,186 m²,2.490 €,,6,"52.47492637057193,",13.333048291521123,https://www.immobilienscout24.de/expose/108272335,"12159 Berlin, Friedenau (Schöneberg)"
,1.11.2018,1 von 4,30 m²,360 €,,1,,,https://www.immobilienscout24.de/expose/67077633,12459 Berlin
"Elsenstrasse 101,",01.12.2018,4,"72,03 m²",818 €,,2,"52.48906810846845,",13.454529388573121,https://www.immobilienscout24.de/expose/108497652,"12435 Berlin, Treptow (Treptow)"
"Germaniapromenade 24,",Sofort,1,"45,9 m²",423 €,,1,"52.460655104288534,",13.431728416499265,https://www.immobilienscout24.de/expose/86625058,"12347 Berlin, Britz (Neukölln)"
"Kellerstr. 4,",sofort,0 von 5,34 m²,590 €,,1,"52.450331357233765,",13.342135820599712,https://www.immobilienscout24.de/expose/108373176,"12169 Berlin, Steglitz (Steglitz)"
"Klützer Str. 15,",14.12.2018,2 von 5,"53,5 m²",530 €,,2,"52.57114173115263,",13.516297495978877,https://www.immobilienscout24.de/expose/108500391,"13059 Berlin, Neu-Hohenschönhausen (Hohenschönhausen)"
"Behrenstraße 28,",ab sofort,7,155 m²,2.000 €,,3,"52.5155393733864,",13.389599328477322,https://www.immobilienscout24.de/expose/108136264,"10117 Berlin, Mitte (Mitte)"
"Alt-Wittenau 88 C,",sofort,0 von 5,"61,04 m²","691,58 €",,2,"52.58893020581117,",13.336568164345715,https://www.immobilienscout24.de/expose/108481839,"13437 Berlin, Wittenau (Reinickendorf)"
"Rue du Commandant Jean Tulasne 6,",20190101,,"108,21 m²","1.460,84 €",,4,"52.56651360721503,",13.30028535390936,https://www.immobilienscout24.de/expose/108155823,"13405 Berlin, Reinickendorf (Reinickendorf)"
"Paul-Lincke-Ufer 8 D,",ab sofort,2 von 6,91 m²,1.450 €,,1,"52.493177885052965,",13.43510004267805,https://www.immobilienscout24.de/expose/108584496,"10999 Berlin, Kreuzberg (Kreuzberg)"
,15.12.18,2,51 m²,600 €,,"1,5",,,https://www.immobilienscout24.de/expose/68095498,14129 Berlin
"Fraunhoferstraße 20,",sofort möglich,,"125,29 m²","1.754,06 €",,4,"52.51565165528221,",13.31784626968633,https://www.immobilienscout24.de/expose/108693686,"10587 Berlin, Charlottenburg (Charlottenburg)"
"Blücherstraße 14,",,1 von 5,80 m²,1.165 €,,2,"52.49533378125947,",13.396959264846501,https://www.immobilienscout24.de/expose/108197176,"10961 Berlin, Kreuzberg (Kreuzberg)"
"Motzener Str. 3,",01.01.2019,,"58,86 m²","735,75 €",,2,"52.40957885165893,",13.376549778449117,https://www.immobilienscout24.de/expose/108482735,"12277 Berlin, Marienfelde (Tempelhof)"
